PBC,Description,Due Date for Response
MEET-001,"Kick off meeting with the internal Working Capital Fund as a way to discuss new introductions, general topics, and PBCs.",6/1/2025
MEET-002,"Recurring bi-weekly meeting with Group1, Group2, and Group3 as a touchpoint.",6/1/2025
MEET-003,"Recurring bi-weekly meeting with the PP&E team to discuss general topics and questions related to walkthroughs, testing or PBCs. ",6/1/2025
MEET-004,"Recurring biweekly meeting with Group7 to discuss general topics and questions related to walkthroughs, testing or PBCs.",6/1/2025
MEET-005,Virtual meeting to discuss questions related to the CAP timeline file submitted,6/1/2025
MEET-006,"Meeting with the individuals listed in the file: Fraud Inquiry Invite List.xlsx  ",6/1/2025
"MEET-007 ","Recurring bi-weekly meeting with Group3 to discuss general topics and questions related to walkthroughs, testing, and PBCs.",6/1/2025
SITE-001,Site visit of Data Center ABC to review access controls and contingency plans,6/1/2025
SITE-002,Site visit of Warehouse 7 to review inventory and internal controls,6/1/2025
GEN-001,Please provide the GovAG FY 2025 Financial Statements audit road map and the related planned actions for WCF.,6/1/2025
GEN-002,Please provide the GovAG FY 2025 CAP Timeline for WCF,6/1/2025
GEN-003,"Please provide the following in regards to Entity Wide Controls:
•            The most recent GovAG Code of Conduct
•            The most recent communication of agency-wide goals and strategic plans
•            Policy or evidence demonstrating GovAG leadership and employees have read and understood the GovAG Code of Conduct and other Federal Ethical Guidelines
•            Guidance provided to GovAG's General Counsel to determine conflicts of interest reported to them. 
•            Guidance of disciplinary actions for GovAG employees who violate GovAG and Federal ethical rules  
•            Stewardship Committee/Audit Committee Meeting Minutes and Slides for FY25 Q1. If a Stewardship/Audit Committee meeting did not take place, provide meeting minutes from any GovAG Audit Task Force (ATF) meetings held during Q1.",6/1/2025
GEN-004,"Please provide all financially-relevant DOD-OIG, GovAG-OIG, and GAO audit reports released as of 1/31/2025 for the Working Capital Fund.",6/1/2025
GEN-005,"Please provide all financially-relevant DOD-OIG, GovAG-OIG, and GAO audit reports released as of 3/31/2025 for the Working Capital Fund.",6/1/2025
